,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
118,2021-11-29 09:08:11.257,26,4383,전남,全南,Jeollanam-do,28,3940,28,0,237,13571,2021년 11월 29일 00시,null
119,2021-11-29 09:08:11.257,74,6282,전북,全北,Jeollabuk-do,49,5786,49,0,348,13570,2021년 11월 29일 00시,null
120,2021-11-29 09:08:11.257,77,12849,충남,忠南,Chungcheongnam-do,53,11630,50,3,606,13569,2021년 11월 29일 00시,null
121,2021-11-29 09:08:11.257,91,8786,충북,忠北,Chungcheongbuk-do,33,8384,33,0,549,13568,2021년 11월 29일 00시,null
122,2021-11-29 09:08:11.256,72,8556,강원,江原,Gangwon-do,56,7735,55,1,555,13567,2021년 11월 29일 00시,null
123,2021-11-29 09:08:11.256,1175,132565,경기,京畿,Gyeonggi-do,910,118087,905,5,987,13566,2021년 11월 29일 00시,null
124,2021-11-29 09:08:11.256,2,1538,세종,世宗,Sejong,15,1429,15,0,432,13565,2021년 11월 29일 00시,null
125,2021-11-29 09:08:11.256,57,5637,울산,蔚山,Ulsan,2,5498,2,0,496,13564,2021년 11월 29일 00시,null
126,2021-11-29 09:08:11.256,64,8512,대전,大田,Daejeon,43,7934,43,0,581,13563,2021년 11월 29일 00시,null
127,2021-11-29 09:08:11.255,30,6233,광주,光州,Gwangju,61,5739,61,0,430,13562,2021년 11월 29일 00시,null
128,2021-11-29 09:08:11.255,143,24426,인천,仁川,Incheon,233,21627,233,0,830,13561,2021년 11월 29일 00시,null
129,2021-11-29 09:08:11.255,314,18880,대구,大邱,Daegu,88,17799,87,1,781,13560,2021년 11월 29일 00시,null
130,2021-11-29 09:08:11.255,182,16175,부산,釜山,Busan,144,14747,144,0,477,13559,2021년 11월 29일 00시,null
131,2021-11-29 09:08:11.254,1084,153100,서울,首尔,Seoul,1393,129304,1386,7,1583,13558,2021년 11월 29일 00시,null
132,2021-11-29 09:08:11.254,3580,444200,합계,合计,Total,3309,393617,3286,23,857,13557,2021년 11월 29일 00시,null
133,2021-11-28 08:55:08.758,16,6438,검역,隔離區,Lazaretto,10,6274,0,10,-,13556,2021년 11월 28일 00시,null
134,2021-11-28 08:55:08.758,9,3638,제주,济州,Jeju,35,3365,35,0,539,13555,2021년 11월 28일 00시,null
135,2021-11-28 08:55:08.758,56,14870,경남,庆南,Gyeongsangnam-do,89,13936,88,1,445,13554,2021년 11월 28일 00시,null
136,2021-11-28 08:55:08.758,106,11132,경북,庆北,Gyeongsangbuk-do,103,10279,103,0,422,13553,2021년 11월 28일 00시,null
137,2021-11-28 08:55:08.758,25,4355,전남,全南,Jeollanam-do,25,3899,25,0,235,13552,2021년 11월 28일 00시,null
138,2021-11-28 08:55:08.757,73,6233,전북,全北,Jeollabuk-do,45,5751,44,1,345,13551,2021년 11월 28일 00시,null
139,2021-11-28 08:55:08.757,77,12796,충남,忠南,Chungcheongnam-do,121,11559,120,1,603,13550,2021년 11월 28일 00시,null
140,2021-11-28 08:55:08.757,90,8753,충북,忠北,Chungcheongbuk-do,25,8367,23,2,547,13549,2021년 11월 28일 00시,null
141,2021-11-28 08:55:08.757,72,8500,강원,江原,Gangwon-do,63,7680,61,2,551,13548,2021년 11월 28일 00시,null
142,2021-11-28 08:55:08.756,1167,131655,경기,京畿,Gyeonggi-do,1090,117878,1083,7,981,13547,2021년 11월 28일 00시,null
143,2021-11-28 08:55:08.756,2,1523,세종,世宗,Sejong,5,1427,5,0,428,13546,2021년 11월 28일 00시,null
144,2021-11-28 08:55:08.756,57,5635,울산,蔚山,Ulsan,4,5495,4,0,496,13545,2021년 11월 28일 00시,null
145,2021-11-28 08:55:08.756,63,8469,대전,大田,Daejeon,53,7913,53,0,579,13544,2021년 11월 28일 00시,null
146,2021-11-28 08:55:08.756,30,6172,광주,光州,Gwangju,52,5706,52,0,426,13543,2021년 11월 28일 00시,null
147,2021-11-28 08:55:08.755,141,24193,인천,仁川,Incheon,278,21553,276,2,822,13542,2021년 11월 28일 00시,null
148,2021-11-28 08:55:08.755,311,18792,대구,大邱,Daegu,106,17756,106,0,777,13541,2021년 11월 28일 00시,null
149,2021-11-28 08:55:08.755,181,16031,부산,釜山,Busan,148,14679,147,1,473,13540,2021년 11월 28일 00시,null
150,2021-11-28 08:55:08.755,1072,151711,서울,首尔,Seoul,1676,128794,1668,8,1569,13539,2021년 11월 28일 00시,null
151,2021-11-28 08:55:08.754,3548,440896,합계,合计,Total,3928,392311,3893,35,851,13538,2021년 11월 28일 00시,null
152,2021-11-27 09:36:03.484,16,6428,검역,隔離區,Lazaretto,5,6269,0,5,-,13537,2021년 11월 27일 00시,null
153,2021-11-27 09:36:03.484,9,3603,제주,济州,Jeju,27,3330,27,0,534,13536,2021년 11월 27일 00시,null
154,2021-11-27 09:36:03.484,52,14781,경남,庆南,Gyeongsangnam-do,87,13854,87,0,443,13535,2021년 11월 27일 00시,null
155,2021-11-27 09:36:03.484,105,11029,경북,庆北,Gyeongsangbuk-do,96,10246,95,1,418,13534,2021년 11월 27일 00시,null
156,2021-11-27 09:36:03.483,25,4330,전남,全南,Jeollanam-do,36,3854,36,0,234,13533,2021년 11월 27일 00시,null
157,2021-11-27 09:36:03.483,73,6188,전북,全北,Jeollabuk-do,50,5704,50,0,343,13532,2021년 11월 27일 00시,null
158,2021-11-27 09:36:03.483,76,12675,충남,忠南,Chungcheongnam-do,78,11515,76,2,598,13531,2021년 11월 27일 00시,null
159,2021-11-27 09:36:03.483,90,8728,충북,忠北,Chungcheongbuk-do,39,8340,38,1,545,13530,2021년 11월 27일 00시,null
160,2021-11-27 09:36:03.483,72,8437,강원,江原,Gangwon-do,93,7642,93,0,547,13529,2021년 11월 27일 00시,null
161,2021-11-27 09:36:03.482,1151,130565,경기,京畿,Gyeonggi-do,1109,117048,1105,4,972,13528,2021년 11월 27일 00시,null
162,2021-11-27 09:36:03.482,2,1518,세종,世宗,Sejong,11,1417,11,0,427,13527,2021년 11월 27일 00시,null
163,2021-11-27 09:36:03.482,57,5631,울산,蔚山,Ulsan,7,5485,6,1,496,13526,2021년 11월 27일 00시,null
164,2021-11-27 09:36:03.482,60,8416,대전,大田,Daejeon,38,7884,38,0,575,13525,2021년 11월 27일 00시,null
165,2021-11-27 09:36:03.482,30,6120,광주,光州,Gwangju,35,5671,35,0,422,13524,2021년 11월 27일 00시,null
166,2021-11-27 09:36:03.481,139,23915,인천,仁川,Incheon,288,21393,287,1,813,13523,2021년 11월 27일 00시,null
167,2021-11-27 09:36:03.481,308,18686,대구,大邱,Daegu,76,17676,76,0,773,13522,2021년 11월 27일 00시,null
168,2021-11-27 09:36:03.481,181,15883,부산,釜山,Busan,105,14584,104,1,468,13521,2021년 11월 27일 00시,null
169,2021-11-27 09:36:03.481,1046,150035,서울,首尔,Seoul,1888,128229,1881,7,1552,13520,2021년 11월 27일 00시,null
170,2021-11-27 09:36:03.48,3492,436968,합계,合计,Total,4068,390141,4045,23,843,13519,2021년 11월 27일 00시,null
171,2021-11-26 09:03:24.525,16,6423,검역,隔離區,Lazaretto,4,6265,0,4,-,13518,2021년 11월 26일 00시,null
172,2021-11-26 09:03:24.524,9,3576,제주,济州,Jeju,32,3310,32,0,530,13517,2021년 11월 26일 00시,null
173,2021-11-26 09:03:24.524,52,14694,경남,庆南,Gyeongsangnam-do,86,13691,86,0,440,13516,2021년 11월 26일 00시,null
174,2021-11-26 09:03:24.524,103,10934,경북,庆北,Gyeongsangbuk-do,116,10196,116,0,414,13515,2021년 11월 26일 00시,null
175,2021-11-26 09:03:24.524,25,4294,전남,全南,Jeollanam-do,38,3826,38,0,232,13514,2021년 11월 26일 00시,null
176,2021-11-26 09:03:24.524,72,6138,전북,全北,Jeollabuk-do,46,5653,45,1,340,13513,2021년 11월 26일 00시,null
177,2021-11-26 09:03:24.523,76,12597,충남,忠南,Chungcheongnam-do,87,11381,87,0,594,13512,2021년 11월 26일 00시,null
178,2021-11-26 09:03:24.523,90,8689,충북,忠北,Chungcheongbuk-do,25,8312,25,0,543,13511,2021년 11월 26일 00시,null
179,2021-11-26 09:03:24.523,71,8344,강원,江原,Gangwon-do,53,7583,53,0,541,13510,2021년 11월 26일 00시,null
180,2021-11-26 09:03:24.523,1131,129456,경기,京畿,Gyeonggi-do,1120,113517,1115,5,964,13509,2021년 11월 26일 00시,null
181,2021-11-26 09:03:24.522,2,1507,세종,世宗,Sejong,15,1406,15,0,424,13508,2021년 11월 26일 00시,null
182,2021-11-26 09:03:24.522,57,5624,울산,蔚山,Ulsan,13,5476,13,0,495,13507,2021년 11월 26일 00시,null
183,2021-11-26 09:03:24.522,60,8378,대전,大田,Daejeon,44,7810,44,0,572,13506,2021년 11월 26일 00시,null
184,2021-11-26 09:03:24.521,30,6085,광주,光州,Gwangju,31,5644,30,1,420,13505,2021년 11월 26일 00시,null
185,2021-11-26 09:03:24.521,137,23627,인천,仁川,Incheon,248,20663,245,3,803,13504,2021년 11월 26일 00시,null
186,2021-11-26 09:03:24.521,305,18610,대구,大邱,Daegu,103,17627,103,0,770,13503,2021년 11월 26일 00시,null
187,2021-11-26 09:03:24.521,179,15778,부산,釜山,Busan,98,14530,96,2,465,13502,2021년 11월 26일 00시,null
188,2021-11-26 09:03:24.52,1025,148147,서울,首尔,Seoul,1742,126661,1739,3,1532,13501,2021년 11월 26일 00시,null
189,2021-11-26 09:03:24.52,3440,432901,합계,合计,Total,3901,383551,3882,19,835,13500,2021년 11월 26일 00시,null
190,2021-11-25 09:04:56.335,16,6419,검역,隔離區,Lazaretto,5,6259,0,5,-,13499,2021년 11월 25일 00시,null
191,2021-11-25 09:04:56.335,9,3544,제주,济州,Jeju,29,3273,29,0,525,13498,2021년 11월 25일 00시,null
192,2021-11-25 09:04:56.335,52,14608,경남,庆南,Gyeongsangnam-do,74,13645,72,2,437,13497,2021년 11월 25일 00시,null
193,2021-11-25 09:04:56.335,102,10818,경북,庆北,Gyeongsangbuk-do,98,10179,97,1,410,13496,2021년 11월 25일 00시,null
194,2021-11-25 09:04:56.334,25,4256,전남,全南,Jeollanam-do,42,3795,42,0,230,13495,2021년 11월 25일 00시,null
195,2021-11-25 09:04:56.334,72,6092,전북,全北,Jeollabuk-do,35,5597,35,0,338,13494,2021년 11월 25일 00시,null
