,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
172,2021-11-13 09:34:07.842,5,3260,제주,济州,Jeju,15,3113,142,15,0,483,13270,2021년 11월 13일 00시,null
173,2021-11-13 09:34:07.842,44,13770,경남,庆南,Gyeongsangnam-do,41,13005,721,41,0,412,13269,2021년 11월 13일 00시,null
174,2021-11-13 09:34:07.842,97,10293,경북,庆北,Gyeongsangbuk-do,35,9649,547,35,0,390,13268,2021년 11월 13일 00시,null
175,2021-11-13 09:34:07.842,24,3815,전남,全南,Jeollanam-do,19,3562,229,19,0,206,13267,2021년 11월 13일 00시,null
176,2021-11-13 09:34:07.841,69,5611,전북,全北,Jeollabuk-do,59,5195,347,59,0,311,13266,2021년 11월 13일 00시,null
177,2021-11-13 09:34:07.841,68,11502,충남,忠南,Chungcheongnam-do,77,10571,863,76,1,542,13265,2021년 11월 13일 00시,null
178,2021-11-13 09:34:07.841,87,8338,충북,忠北,Chungcheongbuk-do,23,7889,362,23,0,521,13264,2021년 11월 13일 00시,null
179,2021-11-13 09:34:07.841,68,7579,강원,江原,Gangwon-do,31,7203,308,31,0,491,13263,2021년 11월 13일 00시,null
180,2021-11-13 09:34:07.84,1018,117634,경기,京畿,Gyeonggi-do,648,106973,9643,644,4,876,13262,2021년 11월 13일 00시,null
181,2021-11-13 09:34:07.84,2,1400,세종,世宗,Sejong,1,1373,25,1,0,393,13261,2021년 11월 13일 00시,null
182,2021-11-13 09:34:07.84,57,5508,울산,蔚山,Ulsan,1,5392,59,1,0,485,13260,2021년 11월 13일 00시,null
183,2021-11-13 09:34:07.84,56,7834,대전,大田,Daejeon,32,7525,253,32,0,535,13259,2021년 11월 13일 00시,null
184,2021-11-13 09:34:07.839,29,5604,광주,光州,Gwangju,31,5380,195,31,0,386,13258,2021년 11월 13일 00시,null
185,2021-11-13 09:34:07.839,118,21265,인천,仁川,Incheon,166,19120,2027,165,1,723,13257,2021년 11월 13일 00시,null
186,2021-11-13 09:34:07.839,285,17805,대구,大邱,Daegu,73,16970,550,73,0,736,13256,2021년 11월 13일 00시,null
187,2021-11-13 09:34:07.839,171,14638,부산,釜山,Busan,64,13799,668,64,0,432,13255,2021년 11월 13일 00시,null
188,2021-11-13 09:34:07.838,869,130831,서울,首尔,Seoul,1005,116627,13335,1001,4,1353,13254,2021년 11월 13일 00시,null
189,2021-11-13 09:34:07.838,3083,393042,합계,合计,Total,2325,359553,30406,2311,14,758,13253,2021년 11월 13일 00시,null
190,2021-11-12 09:27:26.293,16,6351,검역,隔離區,Lazaretto,4,6205,130,0,4,-,13252,2021년 11월 12일 00시,null
191,2021-11-12 09:27:26.293,5,3245,제주,济州,Jeju,21,3102,138,21,0,481,13251,2021년 11월 12일 00시,null
192,2021-11-12 09:27:26.293,44,13729,경남,庆南,Gyeongsangnam-do,68,12915,770,68,0,411,13250,2021년 11월 12일 00시,null
193,2021-11-12 09:27:26.292,96,10258,경북,庆北,Gyeongsangbuk-do,41,9616,546,41,0,389,13249,2021년 11월 12일 00시,null
194,2021-11-12 09:27:26.292,22,3796,전남,全南,Jeollanam-do,15,3539,235,15,0,205,13248,2021년 11월 12일 00시,null
195,2021-11-12 09:27:26.292,69,5553,전북,全北,Jeollabuk-do,65,5144,340,65,0,308,13247,2021년 11월 12일 00시,null
196,2021-11-12 09:27:26.292,68,11425,충남,忠南,Chungcheongnam-do,59,10489,868,59,0,539,13246,2021년 11월 12일 00시,null
197,2021-11-12 09:27:26.291,87,8315,충북,忠北,Chungcheongbuk-do,26,7850,378,26,0,519,13245,2021년 11월 12일 00시,null
198,2021-11-12 09:27:26.291,68,7548,강원,江原,Gangwon-do,30,7167,313,30,0,489,13244,2021년 11월 12일 00시,null
